"","id","contrast","totalAttempt","totalCorrect","meanResponseTime","percCorrect"
"1",1,1,13,3,6749.26923076923,0.230769230769231
"2",1,2,10,10,2274.52,1
"3",1,3,10,10,1924.91,1
"4",1,4,1,1,1293.4,1
"5",1,5,1,1,1271.8,1
"6",1,6,1,1,1299,1
"7",1,7,1,1,1537.5,1
"8",1,8,1,1,1638,1
"9",1,9,1,1,1618.9,1
"10",1,10,1,1,7627.2,1
"11",2,1,12,2,4303.58333333333,0.166666666666667
"12",2,2,10,10,2697.5,1
"13",2,3,11,11,1833.81818181818,1
"14",2,4,1,1,2002,1
"15",2,5,1,1,1411,1
"16",2,6,1,1,1122,1
"17",2,7,1,1,1412,1
"18",2,8,1,1,1332,1
"19",2,9,1,1,2409,1
"20",2,10,1,1,1538,1
"21",3,2,6,0,5606.55000003179,0
"22",3,3,10,6,4108.31999998093,0.6
"23",3,4,12,11,2529.14166667064,0.916666666666667
"24",3,5,6,6,2470.06666676203,1
"25",3,6,2,2,1757.04999995231,1
"26",3,7,1,1,1809.59999990463,1
"27",3,8,1,1,2198.89999985695,1
"28",3,9,1,1,1624.80000019073,1
"29",3,10,1,1,2170.40000009537,1
"30",4,1,7,0,13999.8857142857,0
"31",4,2,9,7,4121.34444444444,0.777777777777778
"32",4,3,11,9,3930.46363636364,0.818181818181818
"33",4,4,5,5,2085.9,1
"34",4,5,3,3,3211.96666666667,1
"35",4,6,1,1,2517.8,1
"36",4,7,1,1,2078.7,1
"37",4,8,1,1,2007.4,1
"38",4,9,1,1,2833.9,1
"39",4,10,1,1,5246.7,1
"40",5,1,14,6,8651.83571428571,0.428571428571429
"41",5,2,9,8,2761.87777777778,0.888888888888889
"42",5,3,9,9,1768.65555555556,1
"43",5,4,2,2,1512.55,1
"44",5,5,1,1,1631.3,1
"45",5,6,1,1,1569.9,1
"46",5,7,1,1,1545,1
"47",5,8,1,1,1456.9,1
"48",5,9,1,1,1585.9,1
"49",5,10,1,1,1520.9,1
"50",6,1,4,0,12167.15,0
"51",6,2,10,4,5076.01,0.4
"52",6,3,11,10,3100.71818181818,0.909090909090909
"53",6,4,8,8,1937.5875,1
"54",6,5,2,2,1945.05,1
"55",6,6,1,1,1261.2,1
"56",6,7,1,1,1279.9,1
"57",6,8,1,1,1110.7,1
"58",6,9,1,1,1500.3,1
"59",6,10,1,1,1502.4,1
"60",8,1,10,1,3711.03,0.1
"61",8,2,10,9,3522.51,0.9
"62",8,3,11,10,2952.07272727273,0.909090909090909
"63",8,4,2,2,1618.25,1
"64",8,5,2,2,1711.8,1
"65",8,6,1,1,1717,1
"66",8,7,1,1,1384.1,1
"67",8,8,1,1,1339.2,1
"68",8,9,1,1,1414.7,1
"69",8,10,1,1,2947.5,1
"70",9,1,12,3,10450,0.25
"71",9,2,10,9,3488,0.9
"72",9,3,10,10,2609.5,1
"73",9,4,2,2,1493,1
"74",9,5,1,1,1823,1
"75",9,6,1,1,1676,1
"76",9,7,1,1,1500,1
"77",9,8,1,1,1310,1
"78",9,9,1,1,1355,1
"79",9,10,1,1,6909,1
"80",11,1,7,1,5726.52857142857,0.142857142857143
"81",11,2,9,7,2862.61111111111,0.777777777777778
"82",11,3,11,9,2406.93636363636,0.818181818181818
"83",11,4,5,5,1940.54,1
"84",11,5,3,3,1846.73333333333,1
"85",11,6,1,1,1542.7,1
"86",11,7,1,1,1479.6,1
"87",11,8,1,1,1971.4,1
