"","id","contrast","totalAttempt","totalCorrect","meanResponseTime","percCorrect"
"1",1,1,15,7,5746.10666666428,0.466666666666667
"2",1,2,9,9,2974.67777776719,1
"3",1,3,9,9,2233.99999999338,1
"4",1,4,1,1,1249.30000001192,1
"5",1,5,1,1,1251.90000003576,1
"6",1,6,1,1,1443.89999997616,1
"7",1,7,1,1,1438.60000002384,1
"8",1,8,1,1,1518.30000001192,1
"9",1,9,1,1,2273.40000003576,1
"10",1,10,1,1,1585.10000002384,1
"11",2,1,11,1,6815.90909090909,0.0909090909090909
"12",2,2,11,11,3551.54545454545,1
"13",2,3,11,11,3563.36363636364,1
"14",2,4,1,1,1603,1
"15",2,5,1,1,1959,1
"16",2,6,1,1,2020,1
"17",2,7,1,1,2347,1
"18",2,8,1,1,1813,1
"19",2,9,1,1,2499,1
"20",2,10,1,1,2046,1
"21",3,2,2,0,3135.24999988079,0
"22",3,3,7,2,4773.47142859868,0.285714285714286
"23",3,4,10,7,2562.16000003815,0.7
"24",3,5,10,8,2761.62000005245,0.8
"25",3,6,5,5,1802.31999998093,1
"26",3,7,3,3,1960.43333339691,1
"27",3,8,1,1,1728.40000009537,1
"28",3,9,1,1,1447.29999995232,1
"29",3,10,1,1,1529.89999985695,1
"30",4,1,13,5,12384.2538461538,0.384615384615385
"31",4,2,8,8,4314.575,1
"32",4,3,10,9,4124.98,0.9
"33",4,4,2,2,3443,1
"34",4,5,2,2,2952,1
"35",4,6,1,1,2736.5,1
"36",4,7,1,1,2119.2,1
"37",4,8,1,1,2159.3,1
"38",4,9,1,1,1903.9,1
"39",4,10,1,1,2827.1,1
"40",5,1,14,5,12342.1142857143,0.357142857142857
"41",5,2,9,9,2413.18888888889,1
"42",5,3,10,10,2413.98,1
"43",5,4,1,1,1946.8,1
"44",5,5,1,1,1791.8,1
"45",5,6,1,1,1632.5,1
"46",5,7,1,1,1852.8,1
"47",5,8,1,1,1661,1
"48",5,9,1,1,2079.9,1
"49",5,10,1,1,3932.8,1
"50",6,1,7,0,8721.42857142857,0
"51",6,2,8,7,3932.375,0.875
"52",6,3,11,8,3730.63636363636,0.727272727272727
"53",6,4,5,5,3168.2,1
"54",6,5,4,4,2904.5,1
"55",6,6,1,1,2454,1
"56",6,7,1,1,2647,1
"57",6,8,1,1,4370,1
"58",6,9,1,1,2698,1
"59",6,10,1,1,5793,1
"60",8,1,9,1,7512.22222222222,0.111111111111111
"61",8,2,11,9,4830.4818181829,0.818181818181818
"62",8,3,11,11,3179.01818181981,1
"63",8,4,3,3,2391.73333333929,1
"64",8,5,1,1,1749.30000001192,1
"65",8,6,1,1,1646.79999998212,1
"66",8,7,1,1,2230.5,1
"67",8,8,1,1,1807.09999999404,1
"68",8,9,1,1,2188.80000001192,1
"69",8,10,1,1,3689.79999998212,1
"70",9,1,14,5,6844.07142857143,0.357142857142857
"71",9,2,9,9,2427.11111111111,1
"72",9,3,10,10,1731.5,1
"73",9,4,1,1,1496,1
"74",9,5,1,1,1860,1
"75",9,6,1,1,1564,1
"76",9,7,1,1,1334,1
"77",9,8,1,1,1311,1
"78",9,9,1,1,1579,1
"79",9,10,1,1,1596,1
"80",11,1,8,1,7064.86249999999,0.125
"81",11,2,8,7,2092.45,0.875
"82",11,3,10,8,1928.25000000001,0.8
"83",11,4,3,3,1649.33333333335,1
"84",11,5,4,3,1480.125,0.75
"85",11,6,2,2,1290.19999999998,1
"86",11,7,2,2,1232.25,1
"87",11,8,1,1,1524,1
"88",11,9,1,1,2686.60000000003,1
"89",11,10,1,1,1524.5,1
"90",12,1,11,1,16242.6818181818,0.0909090909090909
"91",12,2,11,11,6353.89999999783,1
"92",12,3,11,11,4901.01818181168,1
"93",12,4,1,1,3071.5,1
"94",12,5,1,1,1799,1
"95",12,6,1,1,1798.29999995232,1
"96",12,7,1,1,1996.10000002384,1
"97",12,8,1,1,1790.5,1
"98",12,9,1,1,1617.5,1
"99",12,10,1,1,2888.60000002384,1
"100",13,1,7,0,6650.67142851013,0
"101",13,2,9,7,2520.65555556615,0.777777777777778
"102",13,3,11,9,2082.90909090909,0.818181818181818
"103",13,4,5,5,2536.17999992371,1
"104",13,5,3,3,1404.79999995232,1
"105",13,6,1,1,1492.80000019073,1
"106",13,7,1,1,1645,1
"107",13,8,1,1,1236.20000004768,1
"108",13,9,1,1,1145.90000009537,1
"109",13,10,1,1,6324.10000014305,1
"110",17,1,17,10,5936.64705882002,0.588235294117647
