Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1664530633644,30/09/2022 09:37:13,1664530634654,1,30/09/2022 10:37:14,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1664530646237,30/09/2022 09:37:26,1664530646912,1,30/09/2022 10:37:26,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12221.40000000596,,,,,0,1,0,,,,,,title,
3,1664530905489,30/09/2022 09:41:45,1664530906504,1,30/09/2022 10:41:46,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,259581.29999999702,,,,,0,1,0,,,,,,va,
4,1664530906476,30/09/2022 09:41:46,1664530907535,1,30/09/2022 10:41:47,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1011.8000000119209,,,,,0,1,0,,,,,,cs,
5,1664530927620,30/09/2022 09:42:07,1664530928687,1,30/09/2022 10:42:08,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_text_entry,21142.90000000596,,Screen End,-0.04,,0,1,0,,,,,,vaScore,
6,1664530927674,30/09/2022 09:42:07,1664530928688,1,30/09/2022 10:42:08,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,21142.90000000596,,,,,0,1,0,,,,,,vaScore,
7,1664530935162,30/09/2022 09:42:15,1664530936230,1,30/09/2022 10:42:16,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_text_entry,7536.5,,Screen End,1.8,,0,1,0,,,,,,csScore,
8,1664530935219,30/09/2022 09:42:15,1664530936231,1,30/09/2022 10:42:16,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,advancementZone,continue_button,7536.5,,,,,0,1,0,,,,,,csScore,
9,1664530937001,30/09/2022 09:42:17,1664530938070,1,30/09/2022 10:42:18,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,advancementZone,continue_button,1835.2000000029802,,,,,0,1,0,,,,,,end,
10,1664530937090,30/09/2022 09:42:17,1664530938073,1,30/09/2022 10:42:18,89874,8,task-fwvh,,24312730,BLIND,7174786,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,157,Spreadsheet1,,,END TASK,,,,,303419,,,,,0,1,0,,,,,,,
1,1665064819123,06/10/2022 14:00:19,1665064819039,1,06/10/2022 15:00:19,89874,8,task-fwvh,,24399630,BLIND,7208193,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,168,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1665064827572,06/10/2022 14:00:27,1665064827520,1,06/10/2022 15:00:27,89874,8,task-fwvh,,24399630,BLIND,7208193,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,168,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8456.600000023842,,,,,0,1,0,,,,,,title,
3,1665065062548,06/10/2022 14:04:22,1665065062456,1,06/10/2022 15:04:22,89874,8,task-fwvh,,24399630,BLIND,7208193,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,168,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,234925.80000001192,,,,,0,1,0,,,,,,va,
4,1665065063192,06/10/2022 14:04:23,1665065063143,1,06/10/2022 15:04:23,89874,8,task-fwvh,,24399630,BLIND,7208193,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,168,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,672.3000000119209,,,,,0,1,0,,,,,,cs,
