Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.67102E+12,14/12/2022 11:46,1.67102E+12,1,14/12/2022 12:46,102467,5,questionnaire-mq5s,,25948394,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x720,,Debrief,1,,,,preTest,173,No,,25679
1,1.66938E+12,25/11/2022 13:54,1.66938E+12,1,25/11/2022 14:54,102467,5,questionnaire-mq5s,,25477810,70,7479146,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1219x593,,Debrief,1,,,,preTest,183,No,,24348
1,1.66938E+12,25/11/2022 12:23,1.66938E+12,1,25/11/2022 13:23,102467,5,questionnaire-mq5s,,25475982,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1280x720,,Debrief,1,,,,preTest,188,No,,20608
1,1.66904E+12,21/11/2022 15:35,1.66904E+12,1,21/11/2022 16:35,102467,5,questionnaire-mq5s,,25377357,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,Debrief,1,,,,preTest,168,No,,7750
1,1.66904E+12,21/11/2022 15:34,1.66904E+12,1,21/11/2022 16:34,102467,5,questionnaire-mq5s,,25377299,68,7475579,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1680x829,,Debrief,1,,,,preTest,178,No,,11830
1,1.66852E+12,15/11/2022 13:19,1.66852E+12,1,15/11/2022 14:19,102467,5,questionnaire-mq5s,,25248623,66,7438382,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,877x412,,Debrief,1,,,,preTest,178,No,,13192
1,1.66847E+12,14/11/2022 22:45,1.66847E+12,1,14/11/2022 23:45,102467,5,questionnaire-mq5s,,25240157,65,7435944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1711x965,1707x960,,Debrief,1,,,,preTest,178,No,,5128
1,1.66817E+12,11/11/2022 12:27,1.66817E+12,1,11/11/2022 13:27,102467,5,questionnaire-mq5s,,25185089,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,Debrief,1,,onlineFirst,178,no_preTest,,No,,22161
1,1.66816E+12,11/11/2022 10:56,1.66816E+12,1,11/11/2022 11:55,102467,5,questionnaire-mq5s,,25183108,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,Debrief,1,,onlineFirst,168,no_preTest,,No,,13377
1,1.66816E+12,11/11/2022 08:24,1.66816E+12,1,11/11/2022 09:24,102467,5,questionnaire-mq5s,,25172225,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,Debrief,1,193,chartFirst,,no_preTest,,No,,14980
1,1.66809E+12,10/11/2022 15:20,1.66809E+12,1,10/11/2022 16:20,102467,5,questionnaire-mq5s,,25160154,57,7402029,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1280x609,,Debrief,1,,onlineFirst,163,no_preTest,,No,,9832
1,1.66809E+12,10/11/2022 14:19,1.66809E+12,1,10/11/2022 15:19,102467,5,questionnaire-mq5s,,25158649,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x864,,Debrief,1,178,chartFirst,,no_preTest,,No,,46440
1,1.66808E+12,10/11/2022 12:11,1.66808E+12,1,10/11/2022 13:11,102467,5,questionnaire-mq5s,,25155518,40,7339256,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1280x720,1280x720,,Debrief,1,,onlineFirst,163,no_preTest,,No,,18061
1,1.66808E+12,10/11/2022 10:47,1.66808E+12,1,10/11/2022 11:47,102467,5,questionnaire-mq5s,,25153156,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,Debrief,1,183,chartFirst,,no_preTest,,No,,41276
1,1.66808E+12,10/11/2022 10:14,1.66808E+12,1,10/11/2022 11:14,102467,5,questionnaire-mq5s,,25152448,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x786,,Debrief,1,157,chartFirst,,no_preTest,,No,,37761
1,1.66807E+12,10/11/2022 09:51,1.66807E+12,1,10/11/2022 10:51,102467,5,questionnaire-mq5s,,25151902,38,7339253,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1244x683,,Debrief,1,,onlineFirst,152,no_preTest,,No,,32839
1,1.66807E+12,10/11/2022 09:26,1.66807E+12,1,10/11/2022 10:26,102467,5,questionnaire-mq5s,,25151078,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,Debrief,1,188,chartFirst,,no_preTest,,No,,26719
1,1.66782E+12,07/11/2022 12:34,1.66782E+12,1,07/11/2022 13:34,102467,5,questionnaire-mq5s,,25067573,56,7372108,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x960,1536x960,,Debrief,1,,onlineFirst,183,no_preTest,,No,,6699
1,1.66782E+12,07/11/2022 12:01,1.66782E+12,1,07/11/2022 13:01,102467,5,questionnaire-mq5s,,25066175,36,7339255,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x820,,Debrief,1,,,,preTest,188,No,,6944
1,1.66782E+12,07/11/2022 11:40,1.66782E+12,1,07/11/2022 12:40,102467,5,questionnaire-mq5s,,25065348,35,7339251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x1080,,Debrief,1,173,chartFirst,,no_preTest,,No,,9272
1,1.66782E+12,07/11/2022 10:49,1.66782E+12,1,07/11/2022 11:49,102467,5,questionnaire-mq5s,,25063020,58,7402028,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x837,,Debrief,1,,,,preTest,163,No,,22234
1,1.66782E+12,07/11/2022 10:22,1.66782E+12,1,07/11/2022 11:22,102467,5,questionnaire-mq5s,,25061728,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x746,,Debrief,1,,onlineFirst,178,no_preTest,,No,,12509
1,1.66781E+12,07/11/2022 08:42,1.66781E+12,1,07/11/2022 09:42,102467,5,questionnaire-mq5s,,25059067,53,7369226,,complete,,,computer,Desktop or Laptop,Mac OS 10.13.1,Chrome 106.0.0.0,1440x900,1440x900,,Debrief,1,,,,preTest,157,No,,18068
1,1.66757E+12,04/11/2022 12:40,1.66757E+12,1,04/11/2022 13:40,102467,5,questionnaire-mq5s,,24997681,34,7339250,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x789,,Debrief,1,,onlineFirst,178,no_preTest,,No,,9972
