Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,,,,,,,,,,height,height-text,height-quantised,dob-year,dob-month,dob-day,dob-inmonths,Handedness,Handedness-text,Handedness-quantised,END QUESTIONNAIRE
1,1.66756E+12,04/11/2022 11:18,1.66756E+12,1,04/11/2022 12:18,102467,5,questionnaire-u67w,,24995191,52,7369225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1440x900,1440x820,,demographicsLab,1,,,,preTest,168,No,,,,,,,,,,"5'5"" - 5'6""",,4,,,,267,Right,,2,72606
1,1.66847E+12,14/11/2022 22:38,1.66847E+12,1,14/11/2022 23:38,102467,5,questionnaire-u67w,,25240100,65,7435944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1711x865,1707x860,,demographicsLab,1,,,,preTest,178,No,,,,,,,,,,"5'9"" - 5'10""",,6,,,,243,Right,,2,43708
1,1.67102E+12,14/12/2022 11:36,1.67102E+12,1,14/12/2022 12:36,102467,5,questionnaire-u67w,,25948130,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,demographicsLab,1,,,,preTest,173,No,,,,,,,,,,"5'7"" - 5'8""",,5,,,,8,Right,,2,126464
1,1.66938E+12,25/11/2022 13:41,1.66938E+12,1,25/11/2022 14:41,102467,5,questionnaire-u67w,,25477557,70,7479146,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1219x593,,demographicsLab,1,,,,preTest,183,No,,,,,,,,,,"5'11"" - 6'0""",,7,,,,811,Right,,2,162690
1,1.66938E+12,25/11/2022 12:16,1.66938E+12,1,25/11/2022 13:16,102467,5,questionnaire-u67w,,25475824,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,demographicsLab,1,,,,preTest,188,No,,,,,,,,,,"6'1"" - 6'2""",,8,,,,249,Right,,2,63466
1,1.66904E+12,21/11/2022 15:29,1.66904E+12,1,21/11/2022 16:29,102467,5,questionnaire-u67w,,25377071,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,demographicsLab,1,,,,preTest,168,No,,,,,,,,,,"5'5"" - 5'6""",,4,,,,382,Right,,2,52088
1,1.66904E+12,21/11/2022 15:26,1.66904E+12,1,21/11/2022 16:26,102467,5,questionnaire-u67w,,25376865,68,7475579,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1680x829,,demographicsLab,1,,,,preTest,178,No,,,,,,,,,,"5'9"" - 5'10""",,6,,,,410,Right,,2,47975
1,1.66852E+12,15/11/2022 13:09,1.66852E+12,1,15/11/2022 14:09,102467,5,questionnaire-u67w,,25248392,66,7438382,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,877x412,,demographicsLab,1,,,,preTest,178,No,,,,,,,,,,"5'9"" - 5'10""",,6,,,,374,Right,,2,119128
1,1.66842E+12,14/11/2022 11:03,1.66842E+12,1,14/11/2022 12:03,102467,5,questionnaire-u67w,,25220992,15,7339231,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x601,,demographicsLab,1,,,,preTest,173,No,,,,,,,,,,"5'7"" - 5'8""",,5,,,,285,Right,,2,103248
1,1.66817E+12,11/11/2022 12:12,1.66817E+12,1,11/11/2022 13:12,102467,5,questionnaire-u67w,,25184905,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,demographicsLab,1,,onlineFirst,178,no_preTest,,No,,,,,,,,,,"5'9"" - 5'10""",,6,,,,335,Right,,2,111579
1,1.66816E+12,11/11/2022 10:46,1.66816E+12,1,11/11/2022 11:46,102467,5,questionnaire-u67w,,25182957,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x860,,demographicsLab,1,,onlineFirst,168,no_preTest,,No,,,,,,,,,,"5'5"" - 5'6""",,4,,,,299,Right,,2,55108
1,1.66815E+12,11/11/2022 08:12,1.66815E+12,1,11/11/2022 09:12,102467,5,questionnaire-u67w,,25171663,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,demographicsLab,1,193,chartFirst,,no_preTest,,No,,,,,,,,,,"6'3"" - 6'4""",,9,,,,530,Right,,2,89075
