Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
1,1667485035408,03/11/2022 14:17:15,1667485036317,1,03/11/2022 15:17:16,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x722,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1667485075226,03/11/2022 14:17:55,1667485076190,1,03/11/2022 15:17:56,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,1,1,1,Screen 1,advancementZone,continue_button,39834.799999952316,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1667485078671,03/11/2022 14:17:58,1667485079643,1,03/11/2022 15:17:59,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,1,1,2,Screen 2,advancementZone,continue_button,3447.7000000476837,,,,,0,1,0,,,,,,full-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1667485086746,03/11/2022 14:18:06,1667485087718,1,03/11/2022 15:18:07,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,2,1,1,Screen 2,advancementZone,continue_button,8065.899999856949,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1667485102406,03/11/2022 14:18:22,1667485103391,1,03/11/2022 15:18:23,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,2,1,2,Screen 1,advancementZone,continue_button,15665.299999952316,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1667485117044,03/11/2022 14:18:37,1667485118022,1,03/11/2022 15:18:38,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,2,1,3,Screen 3,advancementZone,continue_button,14625.099999904633,,,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1667485144331,03/11/2022 14:19:04,1667485145148,1,03/11/2022 15:19:05,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,3,1,1,Screen 1,Zone1,screen_calibration,27115.699999809265,,,Pixels per CM: 43.61311562260858,,0,1,0,,,,,,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1667485144419,03/11/2022 14:19:04,1667485145150,1,03/11/2022 15:19:05,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,3,1,1,Screen 1,Zone1,screen_calibration,27126.519,,,Calibration Complete,,0,1,0,,,1,,,calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1667485159902,03/11/2022 14:19:19,1667485160879,1,03/11/2022 15:19:20,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,4,1,1,Screen 1,advancementZone,continue_button,15679.900000095367,,,,,0,1,0,,,,,,change2va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1667485160381,03/11/2022 14:19:20,1667485161368,1,03/11/2022 15:19:21,102467,5,task-x8wa,,24979602,26,7339242,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x864,,Vision tests - online,3,,onlineFirst,188,no_preTest,,188,188,188,5,1,1,Screen 1,fixation,fixation,499.5599999999977,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
