Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?
1,1.66738E+12,02/11/2022 08:01,1.66738E+12,1,02/11/2022 09:01,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1536x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
2,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
3,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
4,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
5,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
6,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
7,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
8,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
9,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
10,1.66738E+12,02/11/2022 08:03,1.66738E+12,1,02/11/2022 09:02,102467,4,questionnaire-u67w,,24948100,1,7339222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.5195.127,1536x864,1519x722,,demographicsLab,1,,onlineFirst,173,no_preTest,,No
