Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.66694E+12,28/10/2022 08:06,1.66694E+12,2,28/10/2022 10:06,102468,2,questionnaire-mq5s,,24862355,8,7339169,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,2560x1440,2560x1329,,Debrief,2,178,No,,7885
1,1.66704E+12,29/10/2022 11:06,1.66704E+12,2,29/10/2022 13:06,102468,2,questionnaire-mq5s,,24884503,5,7339164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x900,,Debrief,2,173,No,,50482
1,1.66713E+12,30/10/2022 12:57,1.66713E+12,1,30/10/2022 13:57,102468,2,questionnaire-mq5s,,24894456,6,7339163,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,820x1180,1180x713,,Debrief,2,163,No,,19857
1,1.66715E+12,30/10/2022 16:56,1.66715E+12,1,30/10/2022 17:56,102468,2,questionnaire-mq5s,,24898221,2,7339167,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,Debrief,2,168,No,,35400
1,1.66718E+12,31/10/2022 00:27,1.66718E+12,1,31/10/2022 01:27,102468,2,questionnaire-mq5s,,24903467,21,7339179,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1470x956,1470x808,,Debrief,2,173,No,,13136
1,1.66722E+12,31/10/2022 12:54,1.66722E+12,1,31/10/2022 13:54,102468,2,questionnaire-mq5s,,24910904,34,7339197,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x705,,Debrief,2,178,No,,50795
1,1.66723E+12,31/10/2022 14:51,1.66723E+12,1,31/10/2022 15:51,102468,2,questionnaire-mq5s,,24914024,18,7339183,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Debrief,2,178,No,,12964
1,1.66723E+12,31/10/2022 15:51,1.66723E+12,1,31/10/2022 16:51,102468,2,questionnaire-mq5s,,24915780,27,7339186,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1470x956,1470x841,,Debrief,2,183,No,,23919
1,1.66723E+12,31/10/2022 16:21,1.66723E+12,1,31/10/2022 17:22,102468,2,questionnaire-mq5s,,24916368,14,7339175,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x961,,Debrief,2,173,No,,44156
1,1.66723E+12,31/10/2022 16:35,1.66723E+12,1,31/10/2022 17:35,102468,2,questionnaire-mq5s,,24916634,25,7339184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x720,,Debrief,2,178,No,,23599
1,1.66724E+12,31/10/2022 17:00,1.66724E+12,1,31/10/2022 18:00,102468,2,questionnaire-mq5s,,24917245,17,7339174,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1368x912,1368x912,,Debrief,2,178,No,,44655
1,1.66729E+12,01/11/2022 08:26,1.66729E+12,1,01/11/2022 09:26,102468,2,questionnaire-mq5s,,24925507,29,7339190,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,2560x1440,2560x1440,,Debrief,2,183,No,,21158
1,1.66731E+12,01/11/2022 13:50,1.66731E+12,1,01/11/2022 14:50,102468,2,questionnaire-mq5s,,24931453,28,7339189,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,Debrief,2,178,No,,71370
1,1.66747E+12,03/11/2022 10:44,1.66747E+12,1,03/11/2022 11:44,102468,2,questionnaire-mq5s,,24975297,35,7339196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x1080,,Debrief,2,173,No,,15522
1,1.66747E+12,03/11/2022 11:07,1.66747E+12,1,03/11/2022 12:07,102468,2,questionnaire-mq5s,,24975724,58,7378074,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x837,,Debrief,2,163,No,,34695
1,1.66749E+12,03/11/2022 15:13,1.66749E+12,1,03/11/2022 16:13,102468,2,questionnaire-mq5s,,24981197,57,7378073,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Debrief,2,168,No,,8838
1,1.66749E+12,03/11/2022 16:27,1.66749E+12,1,03/11/2022 17:27,102468,2,questionnaire-mq5s,,24983122,56,7372114,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x960,1536x960,,Debrief,2,183,No,,47895
