,X,id,logMAR,totalAttempt,totalCorrect,meanResponseTime,percCorrect
1,26,3,-0.2,1,0,4000,0
2,27,3,-0.1,6,0,4265.45,0
3,28,3,0,8,6,3579.1375,0.75
4,29,3,0.1,11,9,2373.2,0.818181818
5,30,3,0.2,5,5,2702.58,1
6,31,3,0.3,3,3,1767.066667,1
7,32,3,0.4,1,1,1512.1,1
8,33,3,0.5,1,1,1569,1
9,34,3,0.6,1,1,1842,1
10,35,3,0.7,1,1,1727.2,1
11,36,3,0.8,1,1,1280,1
12,37,3,0.9,1,1,3304.1,1
13,38,3,1,1,1,3254.1,1
14,39,4,-0.2,1,0,4000,0
15,40,4,-0.1,7,0,3713.957143,0
16,41,4,0,9,7,2983.655556,0.777777778
17,42,4,0.1,11,10,2862.854545,0.909090909
18,43,4,0.2,4,4,1764.65,1
19,44,4,0.3,2,2,1959,1
20,45,4,0.4,1,1,1592.6,1
21,46,4,0.5,1,1,1833.4,1
22,47,4,0.6,1,1,2338.8,1
23,48,4,0.7,1,1,1361.8,1
24,49,4,0.8,1,1,1658.2,1
25,50,4,0.9,1,1,1762.1,1
26,51,4,1,1,1,2014.3,1
