ref,lower,bias,upper
"ADYANTHAYA AND B, 2022",0.04,0.06,0.1
"ADYANTHAYA AND B, 2023",0.04,0.07,0.1
"ALMAGATI AND KRAN, 2021",,-0.09,
"BELLSMITH ET AL, 2022",-0.39,-0.07,0.25
"BELLSMITH ET AL, 2023",-0.5,-0.12,0.26
"BELLSMITH ET AL, 2024",-0.53,-0.13,0.27
"CHEN ET AL, 2022",-0.2278,,0.2235
"CHEN ET AL, 2021",-0.31,-0.02,0.26
"CHEN ET AL, 2022",-0.31,-0.02,0.27
"PAINTER ET AL, 2021",-0.88,-0.14,0.6
"PATHIPATI ET AL, 2016",,-0.06,
"SIKTBERG ET AL, 2021",,0.078,
"THIRINAVUKARASU ET AL, 2022",-0.175,-0.001,0.173
"SHEPPARD ET AL, 2024 - C v U ",-0.18,-0.02,0.14
"SHEPPARD ET AL, 2024 - C v S",-0.15,0,0.15
"SHEPPARD ET AL, 2024 - S v U",-0.14,-0.02,0.1
